,address,availability,bathroom,bedrooms,date_listed,date_update,furnished,gender,link,parking,pet,price,smoking,text,title,type_,user,views,latitude,longitude
744,"27-51 Palmer Street, Woolloomooloo NSW",13/11/2018,1 Bathroom,1 Bedroom,13/11/2018,13/11/2018,Yes,No Preference,https://www.gumtree.com.au/s-ad/woolloomooloo/flatshare-houseshare/fantastic-single-room-for-lease-in-the-sydney-s-city/1200873764,LUG,Yes,$300,No,Perfect single room in the city location.,Fantastic single room for lease in the Sydney’s CITY,Other Shared Accomodation,"Sandy,Gummie since, ,2016","26, , views",-33.8739281,151.2173112
745,20 Margaret st Newtown,13/11/2018,2 Bathrooms,1 Bedroom,13/11/2018,13/11/2018,Yes,No Preference,https://www.gumtree.com.au/s-ad/newtown/flatshare-houseshare/single-furnished-room-with-utilities-and-wifi-inclusive-in-rent/1200873790,Street,No,$235,No,"Furnished single sized room for rent with King Single mattress and bass, study desk, wardrobe, fridge, with utilities(electricity,gas and water), digital TV aerial output and WIFI included in weekly rent.,The house has 9 other rooms with very similar setup, To this room. All current residents are from gumtree or personal referral.,Walking Distance to main amenities,-3min walk to Newtown Railway station,-5min walk to St Peters Railway station,-1min walk to Enmore Road,-closest point on King Street in 150m from house,Upon entry $50 refundable key deposit plus 1 week rent upfront.,$50 $235 = $285 upon entry,EFTPOS, VISA MASTERCARD and Cash accepted.",Single Furnished Room with utilities and WIFI inclusive in rent,Other Shared Accomodation,"Patrick,Gummie since, ,2014","136, , views",-33.9013444,151.1759549
746,"Sydney CBD, NSW",13/11/2018,1 Bathroom,1 Bedroom,13/11/2018,13/11/2018,Yes,No Preference,https://www.gumtree.com.au/s-ad/sydney-city/flatshare-houseshare/living-room-for-rent/1200873521,None,No,$225,,"Looking for a flatmate, male or female, clean & tidy person. Its a single bed in the open plan living room and kitchen area.,Its located in the heart of CBD, close to town hall, darling harbour, china town.,its a secure building with reception and security. it has swimming pool, sauna, spa and gym facility.,You will be sharing the apartment with 1 female only, who sleep in the bedroom. Own swipe key. The rent is $225/week include bills, 2 weeks bond, 3 months minimum.,Please contact me by email. Thanks",Living room for rent,Flatshare,"dede,Gummie since, ,2009","61, , views",-33.8679574,151.210047
747,Pyrmont NSW,01/12/2018,2 Bathrooms,3 Bedrooms,13/11/2018,23 hours ago,Yes,No Preference,https://www.gumtree.com.au/s-ad/pyrmont/flatshare-houseshare/single-and-double-bedroom-in-pyrmont/1200875326,Street,No,$250,No,"3 bedroom apartment located in Pyrmont. Beautiful apartment with jacuzzi, pool, sauna, gym and BBQ area perfect for summer FREE of charge. All bills included (Gas, Water, Electricity and High Speed WIFI). Apartment fully furnished including kitcchen equipments and washer machine,The bedrooms are:,- Ensuit bedroom (bedroom with private bathroom) perfect for couples: $520 (260 each),- 2 bedroom with two singles beds for bedroom: $250 ppw,Bus stops next to the building as well as light train (L line),Possibility of taking the whole apparent for a cheaper price if you have friends you want to live with. MINIMUN STAY 3 months with the possibility of leaving before the end of the contract if you find someone to replace you.,BOND: 2 weeks rent,NO BUNK BEDS.,Available viewing from Saturday 17th of November and apartment available to move in the 1st of December.",Single and Double bedroom in Pyrmont,Flatshare,"Julio,Gummie since, ,2018","57, , views",-33.8692145,151.1923633
748,"Shaw Avenue Kingsford, NSW",16/11/2018,2 Bathrooms,4 Bedrooms,13/11/2018,13/11/2018,Yes,,https://www.gumtree.com.au/s-ad/kingsford/flatshare-houseshare/share-accomodation/1200881700,Off Street,,$150,Yes,"Private house share accomodation available 13/11/18. Close to shops UNSW, city. Quiet area.",SHARE ACCOMODATION,Houseshare,"maryann george,Gummie since, ,2017","3, , views",-33.9214017,151.2182477
749,6 darvall rd Eastwood NSW 2122,05/01/2018,1 Bathroom,1 Bedroom,13/11/2018,13/11/2018,Yes,No Preference,https://www.gumtree.com.au/s-ad/dundas-valley/flatshare-houseshare/single-furnished-room-for-rent/1200881694,Street,No,$150,Yes,"Single room with a huge balcony in front. I will leave and go back to my country for 1 month. So, its a temporary rent for a month from January 5 to February 10. Full furniture single room, friends allowed, smoking allowed, but need to keep the room clean.,-1 minute walk to bus stop,-10 minutes walk to station,-direct bus to Macquarie center takes 20 minutes ",Single furnished room for rent,Houseshare,"Muhammad,Gummie since, ,2018","42, , views",-33.7903993,151.0706177
750,"West Pennant Hills NSW 2125, Australia",13/11/2018,2 Bathrooms,4 Bedrooms,13/11/2018,13/11/2018,Yes,No Preference,https://www.gumtree.com.au/s-ad/west-pennant-hills/flatshare-houseshare/furnished-room-in-lovely-suburb/1200850406,Off Street,No,$180,No,"Furnished room in lovely home.,Wifi,All amenities included",Furnished room in lovely suburb,Houseshare,"joy,Gummie since, ,2012","13, , views",-33.7478359,151.0350621
751,"Auburn NSW 2144, Australia",,2 Bathrooms,2 Bedrooms,13/11/2018,13/11/2018,Yes,Female,https://www.gumtree.com.au/s-ad/auburn/flatshare-houseshare/looking-for-a-couple-or-two-girls-to-share-a-room-in-auburn/1200850589,,,$140,,"Room available for sharing two girls or couple in auburn in a brand new apartment.,2 bedroom with two bathrooms, inbuilt wardrobe, balconies, internal laundry, fully furnished.,4minutes away from auburn station,140 p/w for each person exculding bills,Homely environment,For contact: ******2011",Looking for a couple or two girls to share a room in auburn,,"Siddhartha Upreti,Gummie since, ,2018","42, , views",-33.849302,151.0328106
752,"Crows Nest, NSW",16/11/2018,2 Bathrooms,5 Bedrooms,13/11/2018,13/11/2018,Yes,No Preference,https://www.gumtree.com.au/s-ad/crows-nest/flatshare-houseshare/value-art-deco-apartment-5-mins-walk-to-north-sydney-station/1200850923,Street,No,$200,No,"Beautiful Federation Traditional Style Very Large house one level above ground for added security.,Yes Couples will be considered although singles preferred.,Longer the rental term cheaper the rent.,Own private entrance,Very large Bedrooms - set up like a studio in the room.,Clean Tidy Apartment, with Cleaner provided.,Option to bring your own furniture or all furniture is provided at no extra cost.,Large Roof top terrace with BBQ area.,Large fully maintained lawn and gardens, large enough to play Cricket and room to move,Would suit working people looking to save money, have space and live in a very central location.,The other flatmates are mature, straight up, working professionals and very considerate.,Room are priced $230- $290pw inc Bills depending on Room Size.,Also are price cheaper then longer you stay.,Show Fri 3pm and 630pm or SAT 10am 12pm 3pm 7pm,Please sms ""Walker Street"" and confirm your time.,Cheers Mark",Value! Art Deco Apartment - 5 Mins walk to North Sydney Station,Flatshare,"Mark,19, ,ads,Gummie since, ,2008","231, , views",-33.8255649,151.2036095
753,Granville NSW,13/11/2018,1 Bathroom,1 Bedroom,13/11/2018,13/11/2018,Yes,No Preference,https://www.gumtree.com.au/s-ad/granville/flatshare-houseshare/sharing-room-for-single-or-couple/1200851047,Street,No,$175,Yes,"1 masterbed room with aircondition big room with inbuild wardrobe for couple or single person. Close to bus stop Sherwood rd Merrylands West.,Contact for details ******3201",Sharing Room for single or couple,Houseshare,"Dyno,Gummie since, ,2012","17, , views",-33.8345097,151.0060111
754,"6a Chambers St, Werrington County NSW",17/11/2018,1 Bathroom,1 Bedroom,13/11/2018,20 hours ago,Yes,,https://www.gumtree.com.au/s-ad/werrington-county/flatshare-houseshare/room-with-double-bed-share-accommodation-in-werrington/1200876261,Street,No,$175,No,"1 large room with double bed, built-in-robes, desk, chair, in furnished, share house with kitchen, toilet, shower. Close to W.Uni. transport and amenities. Rent includes water and electricity.,INSPECT: Sing ******** 834.",Room with Double Bed Share Accommodation in Werrington,Houseshare,"Comfirst Real Estate,15, ,ads,Gummie since, ,2014","24, , views",-33.7516612,150.7436106
755,"2 Cunningham Street, Haymarket NSW",28/11/2018,2 Bathrooms,3 Bedrooms,13/11/2018,13/11/2018,Yes,No Preference,https://www.gumtree.com.au/s-ad/haymarket/flatshare-houseshare/location-charming-cbd-double-room-in-the-city-centre-/1200853532,None,No,$460,No,"Hi everyone, we are currently looking for a couple or 2 friends or a Single Person to own a private DOUBLE room in a modern 3-bedroom apartment on Cunningham Street, Sydney opposite to World Square,This exclusive apartment is located on high floor & features fully furnished DOUBLE bedrooms with double size bed, living room and kitchen area with huge balcony with a stunning panorama city view. Please note: bathroom will be shared with only 1 other person from another room.,Living in Aspect Tower situates you in the heart of Sydney CBD, combining the convenience of inner-city living with the comfort of first-class facilities.,Enjoy the shopping, restaurants and cafes at your doorstep, or take advantage of easy access to the beaches, Hyde Park and the museums - the time you save off your week-day commute will be put to good use!,⁃ Washing machine and dryer free to use.,⁃ Very convenient location: Opposite to World Square & Coles, 2 minutes to Thai town or Chinese Town, 10 mins to Westfield, 5 mins to UTS or Tafe, 5 mins to Town Hall Station and 7 mins to Central Station.,⁃ High security 24/7,⁃ Free access to the swimming pool and gym in the building,⁃ Unlimited wifi & all bills are included in the rent,⁃ Move in on 28/11. Minimum 3 months stay,Rent: 460$ per week,3 weeks bond 2 week rent paid upfront $200 Key deposit,If u interested just give me a text O423 812 689",Location!!! Charming CBD DOUBLE Room in the City Centre ❤️,Flatshare,"To,Gummie since, ,2014","58, , views",-33.8786969,151.2065917
756,Waterloo NSW,03/12/2018,1 Bathroom,1 Bedroom,13/11/2018,13/11/2018,Yes,No Preference,https://www.gumtree.com.au/s-ad/waterloo/flatshare-houseshare/room-to-rent-in-waterloo-for-december/1200851969,Covered,No,$300,No,"One double room to rent in a two bed apartment in Waterloo for the Christmas period.,⭐️ Short-term room - Waterloo ⭐️,* Room available from the 4th - 30th December,* Rent $360 a week,* Apartment located near cafes, shops and bus routes,* WiFi and bills included,* Fully furnished room in a two bed apartment,* Access to swimming pool and gym,* Car park space",Room to rent in Waterloo for December,Flatshare,"Elaine Coughlan,Gummie since, ,2018","15, , views",-33.9002762,151.2073137
757,"Mosman, NSW, 2088",17/11/2018,1 Bathroom,Studio or Bachelor Pad,13/11/2018,13/11/2018,Yes,No Preference,https://www.gumtree.com.au/s-ad/mosman/flatshare-houseshare/mosman-private-room-enterance/1200853942,Off Street,Yes,$265,No,"Spacious own private room ensuite and small kitchenette microwave and fridge, own enterance. Laundry and clothes line. Two minute walk to bus stop and 10 mins chinamans beach and 15 minute walk to Balmoral beach. views of spit. Non smoker and preferred working Share electricity. Fortnightly $265.00 and two weeks bond. Nice place sorry can't work out how to photos on gumtree. Nice place. Available Saturday,Mobile ******5494 or ******7119",MOSMAN PRIVATE ROOM & ENTERANCE,Houseshare,"De,Gummie since, ,2012","28, , views",-33.8301355,151.2447663
758,"31 Schwebel Street, Marrickville, NSW",13/11/2018,1 Bathroom,1 Bedroom,13/11/2018,13/11/2018,Yes,Male,https://www.gumtree.com.au/s-ad/marrickville/flatshare-houseshare/houseshare/1200854507,Street,No,$185,Yes,"Granny flat 5 minutes walk to marrickville railway station ( only male or couple ),185 P/W single or $ 235 couple , fully funitured and all bills .,please call ******3006 for inspection .",houseshare,Houseshare,"Tony Du,Gummie since, ,2013","26, , views",-33.9143724,151.1529182
759,Hornsby,25/11/2018,2 Bathrooms,2 Bedrooms,13/11/2018,13/11/2018,Yes,Female,https://www.gumtree.com.au/s-ad/hornsby/flatshare-houseshare/private-room-with-own-bathroom/1200855510,None,No,$320,No,"About the Building - Apartment in a high security building. Building has a heated indoor pool, Spa and Sauna. Just a stroll to Hornsby Train station and Westfield.,Fully furnished apartment with Central air conditioning and all amenities - Fridge, Washing Machine, Dryer, Microwave, TV, Dishwasher.,Your room is fully furnished with an access to the main balcony with a beautiful view. The room has a mirrored and spacious in built wardrobe. Even the bed has ample storage space.,You will have your own bathroom too.,All bills included - electricity, gas and unlimited internet.",Private room with own bathroom,Flatshare,"Gaurie,Gummie since, ,2014","16, , views",-33.5724083,151.131775498
760,leonard street,,2 Bathrooms,1 Bedroom,13/11/2018,13/11/2018,Yes,No Preference,https://www.gumtree.com.au/s-ad/bankstown/flatshare-houseshare/one-bedroom/1200854969,Covered,,$155,Yes,Neat tidy furnished room,One bedroom,Houseshare,"Nora,Gummie since, ,2017","21, , views",51.5246571,-0.0854247
761,Bankstown NSW,10/11/2018,2 Bathrooms,4 Bedrooms,13/11/2018,13/11/2018,Yes,No Preference,https://www.gumtree.com.au/s-ad/bankstown/flatshare-houseshare/1-ex-large-1-large-room-wardrobe-bill-included-close-to-station/1200432888,Street,Yes,$200,Yes,"Hello Future Tenant,,$220 - 1 Huge (Upstairs) and,$200 -,1 Large room (Downstairs) available for Rent in Yagoona.,Both Rooms got Builtin Wardrobe,I'm looking for very clean n quiet single person,Some of the features are:,x - 8 Minutes walk to Yagoona Station, 10 Minutes walk away from the shops, and minutes drive away from Bankstown Central and Bass Hill Plaza. Very Close to Hume Highway.,x - Huge Park Outside the House,x - Fully Furnished and including:	,--- Queen Size Bed with Mattress (Bring your Own Pillow, Sheet and Quilt),--- Built – in 3 doors Mirror Wardrobe	,--- Plenty of sunshine	,--- Backyard garden and living room	,--- Including unlimited Internet, electricity, water & gas bills. (Fair Use Policy),There are 4 Rooms in the town house, 2 Upstairs and 2 Downstairs. 1 Bathroom with Bathtub Downstairs & 1 Upstairs. You will be sharing Toilet with 1 person in the house.,*** 4 Weeks Bond and 2 Weeks Rent in Advance, Rent Paid Forenightly. ***,I explain about myself, I am social, easygoing, understandable, always try to solve the problem with talk, would love to be home feeling happy.,If you think it is for you, please contact me for inspection. We can have a bit of chat together.,For more information & question, TXT me:,Phahim 04 06 09 3811,*** NOTE: Stircltly NO HEATER, INDOOR AIRCOR or any High Electricity consumption Equipment and someone who cook less, Smoking outside in Backyard ONLY****",1 Ex-Large 1 Large Room Wardrobe Bill Included Close to station,Townhouse Share,"phahim,Gummie since, ,2014","82, , views",-33.9171897,151.0335881
762,Kingsford NSW,26/11/2018,2 Bathrooms,3 Bedrooms,13/11/2018,13/11/2018,Yes,Female,https://www.gumtree.com.au/s-ad/kingsford/flatshare-houseshare/single-room-for-rent-in-kindsford-near-the-unsw/1200857432,Street,No,$280,No,"single Room for rent in Kindsford near the UNSW,*Non-smoker and female only suitable for UNSW student,*A shared house with family of 4 plus one friendly dog,include fridge,washing machine,microwave.,*Fully furnished room with table .queen size bed and wardrobe.,*2 minutes walk to bus stop (Both Anzac Parade and Bunnerong Road),*25 minutes to city by bus,*15 minutes walks to UNSW,*5 minutes walks to closest supermarket (IGA and restaurants),*10 minutes to Eastgarden shopping mall & Maroubra Junction by bus,*Include all bills(electricity,water ,wifi),*from $280/week (negotiable), payment every 4 weeks(4 weeks bond),*long term prefered (min 6 months),Suitable for CLEAN ,QUITE AND RESPONSIBLE single person,If you have further question ,please email me at,soo******@******.au,or SMS ******0698",Single Room for rent in Kindsford near the UNSW,Flatshare,"jen,4, ,ads,Gummie since, ,2015","27, , views",-33.9215922,151.2272307
763,"Castlereagh Street, Sydney NSW",14/11/2018,2 Bathrooms,2 Bedrooms,13/11/2018,13/11/2018,Yes,Female,https://www.gumtree.com.au/s-ad/sydney-city/flatshare-houseshare/sydney-city-girl-twin-share/1200859231,None,No,$175,No,"PLEASE READ AD BEFORE CONTACTING - NO CALLS TEXT ONLY.,Regis Tower 303 castlereagh st near World Square / Central Station,Price drop to $175 (Currently $185) includes pool, sauna, squash courts etc own access card.,Include all bills, scan card, not overcrowded. (4 people in 2 bedroom apartment),CLEAN TENANTS MUST CLEAN EVERYTIME YOU COOK AND PICKUP YOUR HAIR AFTER USING BATHROOM - If you're messy person leaves scraps in sink, food overnight etc doesn't throw out your trash for days etc do not bother inspecting please. I want a bug free house. Common Sense, Tidy Person.,Share room with Japanese girl, good english.,Whatsapp: *******8111 or L1NE/WeChat ID: tomanusic,Move in this month,Please text name/nationality/length of stay/occupation/times you're available to inspect. Shared Bathroom, OWN Key, Bills included.,Cheers",Sydney City Girl Twin Share,Flatshare,"Tom,Gummie since, ,2008","89, , views",-33.9197992,150.9205507
764,"Montpelier St, Neutral Bay NSW 2089",26/11/2018,,1 Bedroom,13/11/2018,13/11/2018,Yes,,https://www.gumtree.com.au/s-ad/neutral-bay/flatshare-houseshare/seeking-for-single-room-close-to-killara/1200857493,,,$0,,"Hi folks. I'm in search of single room close to killara.,If anyone knows something or seeking for a new tenant for single room, I'm just one text away.,ASAP,Cheers",Seeking for Single room close to Killara,,"Jimmy,Gummie since, ,2014","13, , views",-33.8339399,151.2166434
765,Pyrmont NSW,14/11/2018,2 Bathrooms,2 Bedrooms,13/11/2018,13/11/2018,Yes,No Preference,https://www.gumtree.com.au/s-ad/pyrmont/flatshare-houseshare/looking-for-1-guy-next-to-central-station/1200860097,None,No,$185,No,"Next to Central Station and Uni of Sydney.,All bills included,send me a text on O4O4 II9 968",Looking for 1 Guy next to Central Station,Flatshare,"Joe,8, ,ads,Gummie since, ,2012","14, , views",-33.8692145,151.1923633
766,kogarah,01/07/2018,3 Bathrooms,5 Bedrooms,13/11/2018,13/11/2018,Yes,No Preference,https://www.gumtree.com.au/s-ad/kogarah/flatshare-houseshare/modern-rooms-for-rent-all-bills-and-cleaning-included-/1160642946,Off Street,No,$250,Yes,"IF THIS ADD IS UP THERE IS A ROOM READY TO MOVE INTO NOW!,Hello and thank you for viewing :),I am currently Seeking Couples - Singles - Professionals - Students - Friends - Any respectful person who wants a safe place to call home :),**FULLY FURNISHED AND READY TO MOVE IN, JUST BRING YOUR PERSONAL THINGS**,AVAILABLE: ROOMS ARE AVAILABLE NOW!!. Great location close to the city and Beaches. Minutes from train, across road from shops,cafes, parks, beach, lots of parking and space!,COST: starts at $265 per week, you will have your own room, Wifi, Built in wardrobe and lock on the door.,ABOUT THE HOUSE:,- 2 min walk to bus stop *25 mins from city*,- Immaculate Freshly Renovated house.,- Spacious lounge, dining and outdoor area,- 3 bathrooms with gas hot water,- Huge Modern Kitchen with gas cooking,,- separate laundry,- outside bbq area and sitting area.,- house gets prefessionally cleaned every week so no common area cleaning roster,ABOUT THE ROOM,-Fully Furnished *furniture can be removed if asked*,Built in,ABOUT RAMSGATE/SANS SOUCI/KOGARAH BAY,- 5 mins from Rockdale, Brighton le sands, Dolls point),- 30 min to city by bus, train.,- Leafy, charming, beach village with café lifestyle.,- Amazing beaches and parks all around.,- 5 Min walk from 2 gyms *anytime fitness and a ladys gym*,- 2 mins from supermarket, shopping centres ect,- In the heart of Ramsgate/Sans Souci,- Bond/Security Deposit *fully refunded on your leaving*: 3 weeks rent.,- Rent paid weekly or fortnightly.,- All bills included,- Both short term and long term lease available.,COST: $265 per week - large/ensuite extra***smokers alloud but must smoke outside house please.,Please call/SMS for more details.. hope to hear from you soon :)",Modern Rooms For Rent. All bills and Cleaning Included!,Houseshare,"East,4, ,ads,Gummie since, ,2013","56, , views",-33.968226,151.1354509
767,398-408 pitt street,,,,13/11/2018,13/11/2018,Yes,No Preference,https://www.gumtree.com.au/s-ad/haymarket/flatshare-houseshare/second-room-at-cbd/1200840678,,No,$355,No,"ROOM AVAILABLE NOW,Location near world square, central station & town hall station,Sharing 1 key for both of you,Bunk bed or Double bed without bed frame,• We are looking for someone who is friendly, tidy, clean, no smoking, no party.,Not allow to bring friends stay overnight,• $355/week,Minimum stay 3 months,Bond money 2 weeks,- All bill include,- FREE WI-FI,- Gym area,- Sauna,- Swimming Pool,Plz contact Kubi ******9697 for inspection (Text ONLY),Thank you 🙏🏻 🙏🏻",Second room at CBD,,"Silvia,7, ,ads,Gummie since, ,2014","9, , views",51.5035473,-0.1941027
768,Chippendale NSW,19/11/2018,1 Bathroom,2 Bedrooms,13/11/2018,13/11/2018,Yes,No Preference,https://www.gumtree.com.au/s-ad/chippendale/flatshare-houseshare/private-room-in-chippendale-350-week-2-weeks-bond/1200840758,Street,Yes,$350,,"It is a fully-furnished apartment with big lounge, dining spaces, a well-equipped kitchen with a breakfast bar. One shared bathroom/toilet along, with a concealed laundry and huge balcony/lounge facing the main street.,It is very convenient, it's just a brief walk to the University of Sydney, UTS, Victoria Park and Pool, Broadway Shopping Centre and the lively attractions of Newtown's King Street.,Description of bedroom:,Large bedroom with a built-in wardrobe and lots of shelves is available: Lots of natural light including wooden ceilings. Air-con available in the common area. Includes all bills, and utilities.,I can show the room on most days: just get in touch to arrange.,Size and furniture: large room, fits a queen sized bed. Features and facilities: Broadband Internet, light, and bright.,Bond: $700,Rent: A single for their own room is $350 per week, paid fortnightly, including all bills.","Private room in Chippendale ($350/week), 2 weeks bond",Flatshare,"Karan Shah,Gummie since, ,2018","38, , views",-33.8863291,151.1998211
769,"Zetland, NSW",23/11/2018,2 Bathrooms,2 Bedrooms,13/11/2018,13/11/2018,Yes,Male,https://www.gumtree.com.au/s-ad/zetland/flatshare-houseshare/shared-master-bedroom-for-lease-in-zetland/1200841557,None,No,$230,No,"SHARED MASTER BEDROOM FOR RENT,Hello, I am looking for 1 male to share with another flatmate in a Master bedroom available from 23/11/2018,Room includes :,1). A single bed,2). Ensuite bathroom,3). Wardrobe,Own Toilet includes Mirrored alcove with hidden leD’s, Toilet features in-wall cistern and soft close seat.,Facilities : BBQ area, Internal Garden, Gym, Spa and Sauna.,5 Minutes to East Village Shopping Centre, 10 minutes walk to Green Square train station.,Nobody live in the living room and two peoples in the other room. No Pets. Looking for male who is clean, non smoker.,3 weeks bonds, 2 weeks payment in advance, Minimum Stay 3 months, prefer long term stay.",Shared Master Bedroom for Lease in Zetland,Flatshare,"Ash,Gummie since, ,2014","35, , views",-33.9076623,151.2082183
770,"Stanmore, NSW",19/11/2018,1 Bathroom,2 Bedrooms,13/11/2018,14/11/2018,Yes,No Preference,https://www.gumtree.com.au/s-ad/stanmore/flatshare-houseshare/room-in-inner-west-flat-share/1200842072,Street,Yes,$315,,"Are You The One?,Looking for a fab new flat mate for Lucy as I am being suddenly whisked off to Melbourne for work.,We have a gorgeous slice of inner west heaven. Stanmore flat in walking distance to Enmore, Newtown, Erko, Petersham etc.,Plant friendly 🌱,Cat friendly 🐱 (we don’t have any),LGBTQI friendly 🏳️‍🌈,Sunlit with gorgeous parquet floors, ceiling fans, deep bathtub, fully equipped kitchen (gas and dishwasher) and a washing machine / dryer combo in the flat. Wifi and Optus Fetch hooked up!,Sharing with one other person, super human nurse working at RPA, saving lives on the daily. Due to shift work you’ll have the place to yourself often (but you’ll miss her!),The room has 2 large double door built ins, a ceiling fan and comes with optional furniture (phenomenally comfortable queen bed, dresser/storage unit, ornate mirror, bedside tables, lamps etc).,Move in date is flexible but ideally around 24th - 30th Nov.,Rent is $315 p/w. Come get it! 💥",Room In Inner West Flat Share,Flatshare,"Jess,Gummie since, ,2016","19, , views",-33.8936689,151.1656456
771,Vaucluse NSW,19/11/2018,3 Bathrooms,6 or more Bedrooms,13/11/2018,13/11/2018,Yes,No Preference,https://www.gumtree.com.au/s-ad/vaucluse/flatshare-houseshare/amazing-house-to-share-in-vaucluse/1200841756,Covered,,"$1,300",No,"Beautiful house to share on the Vaucluse district. Completely renovated. House of two separate apartments of 4 bedrooms, with 2 garages and a large garden.,- close to shops: 1 min schools and restaurants,-5 min walk to the ocean,-bus stop on the other side of the road,-15 min by bus from Bondi Junction,-10 min by bus from Bondi Beach,-3 bathrooms,-All furnitures included,-All bills included (wifi, electricity ..),Furnished but does not appear on the pictures.,Bedrooms of 2 separated or couple: 195 $ / pers,Room only: $ 360 / pers,Bond: 2 weeks,Minimum stay: 3 months,8 rooms available from 19/11.,Pm for more info! 🤙",Amazing house to share in Vaucluse,Houseshare,"Thibault,Gummie since, ,2016","25, , views",-33.8558564,151.2761018
772,"Manly, NSW, 2095",14/11/2018,2 Bathrooms,2 Bedrooms,13/11/2018,13/11/2018,Yes,No Preference,https://www.gumtree.com.au/s-ad/manly/flatshare-houseshare/furnished-room-in-manly-available/1200842153,Off Street,No,$350,No,"Fabulous house in great location at Manly,Walk to beach, cafes, shops etc,Beach at end of street,Bus stops outside house,Wifi,Please send contact details if interested",Furnished room in Manly available,Houseshare,"Linda,Gummie since, ,2011","68, , views",-33.8038504,151.2908235
773,"Sydney City, NSW",08/12/2018,1 Bathroom,1 Bedroom,13/11/2018,13/11/2018,Yes,,https://www.gumtree.com.au/s-ad/sydney-city/flatshare-houseshare/short-term-single-room-in-arnliffe-near-cbd-/1200842257,,,$240,,"Hi there,,I will be going overseas and I am putting my room available for 4 weeks.,- Location: Arncliffe, 3 min walk from the train station,- Short term stay: From December 8 to January 5,- Queen bed,- Built-in wardrobe,- Rent: $240 (Single) or $ 350 (Couple) with bills included.,- You will be sharing the flat with another 2 people (shared room),Inspection is available.",Short Term: Single Room in Arnliffe (Near CBD),Flatshare,"Lincoln Silva,Gummie since, ,2014","30, , views",-33.8548157,151.2164539
774,"Robert St, Telopea NSW",14/11/2018,2 Bathrooms,3 Bedrooms,13/11/2018,13/11/2018,Yes,No Preference,https://www.gumtree.com.au/s-ad/dundas/flatshare-houseshare/furnished-room-in-telopea-parramatta-walk-5mins-to-train-station/1200843537,Street,No,$170,No,"One bed room available in a 3 bed room, 2 bathroom duplex house, locate in Robert St, Telopea(Next to Dundas and North Parramatta). Walk 5mins to train Station and bus stop. Easy travel and Close to Eastwood, Parramatta, Epping and Carlingford suburbs. Suitable to students study at WUS, Macquarie University. Also good for working people who prefer a quiet sleeping place.,The features includes:,* A private driveway separate the property off the street, very security and quiet.,* Open kitchen with separate dining area and living room, with brand new large fridge and washing machine.,* Large beautiful front and back yard with cover,,• Room including single or double bed, desk and build in wardrobes.,*$170 per week or $230 for 2 ppls, 4 weeks bond, plus 2 week rent in advance.,• All bills included, free ADSL2 Broadband internet. (Extra payment require If you need to use heater or air conditioning),• looking for a friendly, non smoker and prefer not cook much.,• Minimum stay 3 months,If you would like to inspect the house, please contact on *******3268 (mobile message welcome).","Furnished room in Telopea Parramatta, walk 5mins to train Station",Houseshare,"Jason,Gummie since, ,2009","34, , views",-33.7913878,151.0345256
775,"1 church avenue, Mascot",12/11/2018,,,13/11/2018,13/11/2018,Yes,No Preference,https://www.gumtree.com.au/s-ad/mascot/flatshare-houseshare/double-room-in-mascot-8-min-to-central-train-station/1199989169,Covered,No,$360,No,"Hi there!!,Our lovely housemates are going back to their country and their room will be available from the 12th of November,It is a double room in a beautiful and very clean apartment in Mascot. Single and couples are welcome. Shared toilet with a couple. Bills included,It is located 7 minutes walking from Mascot train station. It is a great location, 8 minutes from Central Station and 3 minutes from the airport.,The room comes with a Queen Size Bed, a bedside table,wardrobe and an amazing city view.,Please note that the bed in the photo has been replaced for a nice bed with a very comfortable mattress. Covered parking available.,Woolworths, IGA, coffee shops and restaurants around the corner.,The apartment is fully furnished: Internal laundry with washing machine and dryer. Fully equipped kitchen. Huge balcony with a great view.,We are looking for clean people.,Looking forward to hearing from you,,Cheers,,Catalina and Will,******9220 / ******7963",Double room in Mascot. 8 min to Central Train Station,Flatshare,"Catalina,Gummie since, ,2014","13, , views",-33.9222859,151.1874289
776,"Santana Road, Campbelltown, NSW, Australia 2560",27/11/2018,3 Bathrooms,5 Bedrooms,13/11/2018,13/11/2018,Yes,No Preference,https://www.gumtree.com.au/s-ad/campbelltown/flatshare-houseshare/single-room-available-at-park-central/1200845264,Off Street,No,$180,No,"Single room available on 27/11/2018 in a nearly new stunning terrace house at Park Central; You will be sharing with all other professionals.,Situated in the ever popular Park Central, only minutes walk to Macarthur Square, Macarthur Station, shops, restaurants, gyms, cafes, Campbelltown hospital, and University of Western Sydney etc;,This modern home offers the very best of locations. You don't need a car for a good living.,Rent is $180 including electricity, gas, water and unlimited wireless internet.,We offer:,• Build-in spacious wardrobe,• Fully furnitured,,• Central air conditioning,• Security alarms and security screen.,• All kitchen utensils, microwave, fridge.,Will you be:,• Clean and tidy and quiet,• Respectful and responsible and considerate,• Mature with a secure job or students.,• Willing to take on domestic duties,• Giving notice 2 weeks before moving out,• Non smoker,• Minimal alcohol consumption,• Zero drug use,4 weeks bond and two weeks rent in advance will be required.",single room available at Park Central,Houseshare,"May,Gummie since, ,2013","38, , views",none,none
